,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_20,agent_21,agent_22,agent_23,agent_24,agent_25,agent_26,agent_27,agent_28,agent_29,agent_30,agent_31,agent_32,agent_33,agent_34,agent_35,agent_36,agent_37,agent_38,agent_39,agent_40,agent_41,agent_42,agent_43,agent_44,agent_45,agent_46,agent_47,agent_48,agent_49,agent_50,agent_51,agent_52,agent_53,agent_54,agent_55,agent_56,agent_57,agent_58,agent_59,agent_60,agent_61,agent_62,agent_63,agent_64,agent_65,agent_66,agent_67,agent_68,agent_69,agent_70,agent_71,agent_72,agent_73,agent_74,agent_75,agent_76,agent_77,agent_78,agent_79,agent_80,agent_81,agent_82,agent_83,agent_84,agent_85,agent_86,agent_87,agent_88,agent_89,agent_90,agent_91,agent_92,agent_93,agent_94,agent_95,agent_96,agent_97,agent_98,agent_99
193,16,14,17,15,17,15,17,14,14,16,18,13,16,14,17,15,11,12,18,18,16,15,15,15,16,17,18,16,15,14,14,18,14,22,10,13,17,20,15,21,14,15,17,12,15,23,18,14,16,14,14,11,17,19,16,14,17,13,18,14,17,12,20,13,18,19,13,19,13,18,20,20,17,17,13,15,16,16,12,15,7,14,18,18,14,19,14,18,20,16,14,17,20,18,12,15,19,16,15,14
194,15,15,23,13,16,15,14,18,10,16,15,16,17,19,15,21,15,12,20,20,14,12,14,20,15,15,18,17,19,15,16,15,14,14,13,18,18,20,16,18,9,16,16,16,17,20,20,15,15,19,17,14,18,14,17,18,17,22,15,13,15,14,15,17,15,18,12,14,15,15,16,19,17,17,14,15,10,16,12,15,19,18,15,18,18,15,16,16,19,17,14,22,15,17,17,13,16,15,14,12
195,17,17,17,14,14,21,10,14,16,13,14,19,15,18,14,15,18,17,15,19,19,18,15,17,12,17,20,20,18,14,17,13,15,15,18,14,17,16,14,19,11,14,15,12,14,16,16,19,16,19,17,14,15,15,22,14,14,16,18,8,14,11,16,14,17,13,12,18,16,13,19,17,17,18,19,13,15,13,15,14,13,16,20,19,14,17,20,16,15,13,13,16,16,13,17,19,14,17,19,13
196,20,14,17,14,16,18,15,15,18,13,17,19,17,17,19,15,14,12,20,18,18,15,15,14,14,14,17,15,18,15,16,17,8,18,12,14,16,15,10,18,14,12,15,16,13,18,15,21,17,15,15,13,17,14,15,15,14,17,18,14,15,13,18,18,15,17,14,17,16,14,16,19,16,15,16,16,13,20,17,18,13,13,11,14,17,15,15,17,15,14,15,15,12,11,13,14,12,17,20,8
197,13,19,19,12,14,19,11,13,17,14,14,12,15,15,13,13,16,16,16,18,15,15,16,14,12,16,18,18,14,13,17,15,24,17,15,17,17,16,13,17,17,14,17,16,19,18,21,16,19,20,17,12,19,17,19,14,13,17,16,15,11,15,15,18,17,11,16,15,16,12,14,19,16,18,13,12,16,15,16,14,15,17,13,19,11,18,19,14,17,17,11,18,17,18,19,17,14,13,17,18
198,16,16,14,14,16,16,17,13,18,14,16,19,14,13,19,19,17,16,12,19,15,18,10,14,16,11,19,18,14,14,13,20,14,15,13,19,17,19,9,22,15,18,15,18,21,16,18,20,17,16,11,13,15,21,15,14,13,17,18,13,18,12,15,15,13,14,15,18,17,15,21,18,13,13,17,14,15,16,20,19,16,16,11,11,18,15,15,13,19,14,18,13,17,16,18,19,14,16,20,13
199,20,20,19,20,14,19,17,19,17,19,24,20,22,23,17,21,20,18,15,16,19,23,20,21,17,20,22,23,15,23,21,18,20,21,16,20,21,21,20,19,19,23,21,23,17,21,20,20,21,18,16,16,16,19,23,17,19,23,19,19,17,14,23,20,19,17,20,17,20,22,20,24,22,22,24,16,18,20,17,19,20,19,23,22,20,17,17,26,20,20,16,17,22,16,23,20,19,22,18,21
200,20,20,21,21,16,21,20,17,20,19,20,16,26,17,16,16,22,18,17,22,18,21,18,19,20,17,19,20,18,20,17,22,18,14,18,19,20,19,22,22,20,22,20,25,20,22,18,19,19,18,18,21,13,15,20,19,17,23,21,22,18,20,21,20,19,21,13,20,20,18,20,23,22,19,20,20,17,20,21,18,19,20,21,24,23,20,18,23,15,23,19,19,21,19,20,22,19,20,23,17
201,17,20,19,20,18,23,21,19,19,21,20,21,16,19,20,21,15,17,17,23,16,22,24,21,18,16,18,22,20,19,22,18,18,18,18,20,18,19,17,18,22,15,20,17,20,23,19,21,17,22,19,22,21,17,22,20,17,18,18,16,13,21,17,21,20,19,19,16,25,17,20,23,21,23,23,19,15,21,21,15,19,20,19,17,24,21,17,24,24,19,20,19,19,19,20,19,19,20,21,20
202,20,23,20,18,18,20,17,16,18,20,21,13,18,20,19,18,25,16,18,21,18,21,20,22,15,18,21,23,23,23,22,17,15,22,17,24,21,24,16,20,19,19,17,22,21,23,21,18,20,17,20,17,22,17,24,20,16,20,20,24,18,20,21,20,16,24,17,18,24,19,21,18,22,21,23,16,16,24,22,19,23,21,22,22,21,17,18,15,24,21,22,17,18,18,22,20,16,22,22,19
