,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_20,agent_21,agent_22,agent_23,agent_24,agent_25,agent_26,agent_27,agent_28,agent_29,agent_30,agent_31,agent_32,agent_33,agent_34,agent_35,agent_36,agent_37,agent_38,agent_39,agent_40,agent_41,agent_42,agent_43,agent_44,agent_45,agent_46,agent_47,agent_48,agent_49,agent_50,agent_51,agent_52,agent_53,agent_54,agent_55,agent_56,agent_57,agent_58,agent_59,agent_60,agent_61,agent_62,agent_63,agent_64,agent_65,agent_66,agent_67,agent_68,agent_69,agent_70,agent_71,agent_72,agent_73,agent_74,agent_75,agent_76,agent_77,agent_78,agent_79,agent_80,agent_81,agent_82,agent_83,agent_84,agent_85,agent_86,agent_87,agent_88,agent_89,agent_90,agent_91,agent_92,agent_93,agent_94,agent_95,agent_96,agent_97,agent_98,agent_99
173,10,8,6,4,4,8,14,14,10,10,11,12,5,5,7,11,7,9,11,9,12,7,12,10,7,13,13,11,13,11,14,10,11,8,7,6,8,7,7,8,12,9,7,8,9,6,17,13,12,11,11,11,8,9,13,7,8,5,13,10,12,9,8,9,10,9,9,7,8,5,11,8,8,7,5,10,11,12,9,11,8,8,4,11,11,12,9,11,9,8,8,9,7,8,7,9,9,11,8,9
174,8,7,5,8,10,4,9,9,10,8,12,3,7,12,8,12,14,5,13,11,11,13,15,10,10,9,8,6,11,11,9,11,11,8,8,7,9,9,8,8,10,9,9,5,9,7,12,11,9,12,10,9,9,6,11,5,9,7,5,13,9,12,10,11,16,6,11,8,4,8,9,6,11,8,4,10,6,18,10,9,12,7,9,6,9,6,6,8,6,8,4,6,11,10,9,13,6,12,8,6
175,11,6,12,17,9,9,11,12,11,14,11,9,12,9,10,10,10,11,8,10,11,14,15,12,7,9,10,7,10,15,11,11,10,10,11,10,7,11,9,8,14,8,8,7,11,8,12,14,15,13,11,13,15,8,11,12,11,10,11,13,10,14,12,10,13,13,9,10,6,10,10,16,8,13,12,18,10,20,12,10,11,9,10,15,9,6,6,11,10,9,9,10,9,7,10,12,10,13,6,7
176,14,9,8,10,9,9,10,11,13,11,15,5,6,8,6,9,7,13,8,7,12,11,12,14,5,4,10,11,10,11,12,12,9,8,8,7,12,11,7,5,12,8,9,5,10,8,11,15,13,12,10,11,16,8,11,6,11,11,8,12,9,11,12,12,13,9,10,8,4,10,10,10,9,11,11,12,8,15,10,11,6,11,10,9,11,9,5,8,9,5,10,9,11,9,10,9,8,9,11,9
177,9,8,9,12,7,9,10,9,9,10,10,8,8,9,4,11,11,8,7,6,15,11,10,10,5,8,8,12,10,13,14,11,10,9,7,7,9,9,7,6,12,10,9,10,8,8,11,15,10,12,8,8,13,6,13,8,16,9,9,11,13,8,9,10,8,7,7,9,5,8,7,10,7,13,9,8,8,16,13,10,8,9,8,9,11,8,6,8,8,7,6,8,13,6,8,7,6,10,9,6
178,8,9,6,11,6,6,7,12,10,9,12,9,5,5,7,11,12,9,7,5,13,9,11,11,3,7,10,7,11,10,13,9,10,7,7,6,7,4,7,12,10,10,7,12,10,8,9,13,10,9,8,7,12,6,8,5,13,9,7,6,13,7,10,9,9,6,6,6,7,7,5,10,6,8,9,10,7,10,7,6,7,8,5,8,11,4,6,7,9,9,9,7,9,4,6,4,6,8,5,7
179,11,8,5,12,5,4,7,7,6,9,12,7,8,8,3,10,8,7,8,7,11,8,10,9,6,7,6,9,8,8,11,11,9,6,8,7,8,8,7,7,10,11,7,9,9,10,6,12,9,13,6,6,14,5,7,4,6,4,4,8,11,7,7,13,9,7,6,10,7,6,5,7,8,6,8,10,9,13,7,5,8,7,7,11,11,7,6,10,9,8,10,8,9,7,6,6,2,9,6,7
180,10,7,7,10,6,6,6,8,7,9,8,7,1,7,4,9,11,7,5,9,12,9,10,9,6,6,5,6,7,10,12,11,7,7,9,6,9,7,6,6,10,8,7,8,9,8,7,13,7,10,10,10,13,4,9,6,7,5,6,7,10,11,9,10,11,8,7,10,8,6,3,7,7,8,9,9,7,9,9,8,6,9,8,12,11,7,3,10,8,9,7,5,9,6,6,5,6,7,7,8
181,8,9,9,10,4,6,8,8,8,8,11,7,5,7,6,7,11,8,8,5,9,10,10,10,6,7,7,4,8,10,13,10,8,9,8,6,5,6,6,9,7,8,7,7,10,5,9,8,5,10,8,8,11,7,9,7,7,6,8,7,10,7,8,7,11,4,7,6,6,7,7,5,9,6,8,3,7,12,8,7,8,7,7,10,11,8,3,7,6,8,9,4,8,5,6,4,5,8,9,10
182,8,6,7,10,8,8,4,7,10,6,11,7,5,5,6,5,8,10,5,6,12,8,9,9,6,4,4,8,6,9,13,9,9,7,7,5,7,8,5,9,8,9,7,6,8,7,8,10,6,10,8,7,9,7,9,7,8,5,6,7,9,4,7,8,9,6,3,8,6,7,3,7,8,8,6,5,8,13,7,7,5,7,8,9,10,5,7,7,6,6,8,7,6,4,6,6,6,7,6,9
183,10,5,6,9,6,7,9,8,8,7,7,8,4,7,7,3,7,12,7,7,11,9,10,9,6,7,9,8,7,4,11,7,11,6,7,9,7,6,9,4,7,9,9,6,7,6,7,7,8,8,6,6,7,8,4,6,5,6,7,8,11,5,9,4,8,7,7,11,9,10,8,9,6,6,8,9,6,10,8,6,7,7,7,5,6,6,8,8,6,7,7,9,8,6,6,6,8,8,7,7
184,8,4,7,8,5,6,7,4,8,6,7,6,7,4,9,3,7,8,9,7,12,9,5,7,6,8,6,6,6,5,10,5,10,6,9,9,6,7,4,5,9,10,8,6,7,7,6,8,6,10,7,9,6,8,3,8,7,7,7,5,10,5,5,7,6,5,7,10,7,8,6,7,8,7,5,7,8,5,6,7,6,6,8,8,5,6,7,6,6,6,5,6,4,5,7,6,7,9,8,6
